committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00614214,BERGMANFORCONGRESS,2016,30G,201701319041575836,17,SB17.10004,1143942,ORG,ORGANIZATION,,,TRANSAXT,MI,,,,,PAYMENT PROCESSING FEES,,,2016-11-01 00:00:00,0.55,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072493,GRAND RAPIDS,49503,OTHER,,2016,SB,4020220171369307209,http://docquery.fec.gov/cgi-bin/fecimg/?201701319041575836,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,30G,201701319041575825,17,SB17.9308,1143942,ORG,ORGANIZATION,,,NORDINE'S FOODSTORE,MI,,,,,CC DEBT PAYMENT:  FOOD AND BEVERAGE,X,,2016-11-13 00:00:00,2.25,,,,,,,,,,,,,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072493,WATERSMEET,49969,OTHER,,2016,SB,4020220171369307143,http://docquery.fec.gov/cgi-bin/fecimg/?201701319041575825,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,Q2,201701309041575046,17,SB17.4348.25,1143918,ORG,ORGANIZATION,C00614214,,FASHION CENTRE,IN,BERGMANFORCONGRESS,,,,SHOPPING,X,,2016-04-05 00:00:00,3.00,H,HOUSE,01,,,,,,,,MI,MICHIGAN,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,SB17.4348,SB17,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072484,INDIANAPOLIS,46204,OTHER,,2016,SB,4020220171369305749,http://docquery.fec.gov/cgi-bin/fecimg/?201701309041575046,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,YE,201703139050767469,17,SB17.10160,1152103,ORG,ORGANIZATION,,,FACEBOOK,CA,,,,,CC DEBT PAYMENT: DIGITAL ADVERTISING,X,,2016-12-14 00:00:00,3.09,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,,,0.00,,,,,,,,,,,,H,"",P,F3,4031320171380066545,MENLO PARK,94025,OTHER,,2016,SB,4031320171380071937,http://docquery.fec.gov/cgi-bin/fecimg/?201703139050767469,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,YE,201703139050767463,17,SB17.10048,1152103,ORG,ORGANIZATION,,,CAPITOL HILL HOTEL,DC,,,,,LODGING,,,2016-12-05 00:00:00,4.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,,,0.00,,,,,,,,,,,,H,"",P,F3,4031320171380066545,WASHINGTON,20003,TRAVEL,,2016,SB,4031320171380071920,http://docquery.fec.gov/cgi-bin/fecimg/?201703139050767463,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,12G,201701319041575664,17,SB17.8752,1143939,ORG,ORGANIZATION,,,FACEBOOK,CA,,,,,CC PAYMENT:  DIGITAL ADVERTISING,X,,2016-10-12 00:00:00,4.19,,,,,,,,,,,,,G2016,,GENERAL,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,,,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072491,MENLO PARK,94025,OTHER,,2016,SB,4020220171369306780,http://docquery.fec.gov/cgi-bin/fecimg/?201701319041575664,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,Q2,201701309041575052,17,SB17.4410.8,1143918,ORG,ORGANIZATION,C00614214,,GOOGLE,CA,BERGMANFORCONGRESS,,,,MEDIA,X,,2016-05-04 00:00:00,5.00,H,HOUSE,01,,,,,,,,MI,MICHIGAN,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,SB17.4410,SB17,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072484,MOUNTAIN VIEW,94043,ADVERTISING,,2016,SB,4020220171369305785,http://docquery.fec.gov/cgi-bin/fecimg/?201701309041575052,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,Q2,201701309041575057,17,SB17.4410.22,1143918,ORG,ORGANIZATION,C00614214,,GODADDY.COM,AZ,BERGMANFORCONGRESS,,,,WEBSITE,X,,2016-05-13 00:00:00,5.29,H,HOUSE,01,,,,,,,,MI,MICHIGAN,P2016,,PRIMARY,2016,C,CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,SB17.4410,SB17,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072484,SCOTTSDALE,85260,OTHER,,2016,SB,4020220171369305812,http://docquery.fec.gov/cgi-bin/fecimg/?201701309041575057,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,Q2,201701309041575060,17,SB17.4314.6,1143918,ORG,ORGANIZATION,C00614214,,GODADDY.COM,AZ,BERGMANFORCONGRESS,,,,WEBSITE,X,,2016-05-20 00:00:00,5.29,H,HOUSE,01,,,,,,,,MI,MICHIGAN,P2016,,PRIMARY,2016,C,CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,SB17.4314,SB17,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072484,SCOTTSDALE,85260,OTHER,,2016,SB,4020220171369305831,http://docquery.fec.gov/cgi-bin/fecimg/?201701309041575060,Operating Expenditures,,,,,,
C00614214,BERGMANFORCONGRESS,2016,Q2,201701309041575065,17,SB17.4314.22,1143918,ORG,ORGANIZATION,C00614214,,GODADDY.COM,AZ,BERGMANFORCONGRESS,,,,WEBSITE,X,,2016-05-29 00:00:00,5.29,H,HOUSE,01,,,,,,,,MI,MICHIGAN,P2016,,PRIMARY,2016,C,CHANGE,ITEMIZED DISBURSEMENTS,2017-06-17 23:47:14.450899,,SB17.4314,SB17,0.00,,,,,,,,,,,,H,"",P,F3,4013120171369072484,SCOTTSDALE,85260,OTHER,,2016,SB,4020220171369305863,http://docquery.fec.gov/cgi-bin/fecimg/?201701309041575065,Operating Expenditures,,,,,,
